Network,School ID,Area,School,Total,Year
Austin-North Lawndale Elementary Network,610131,,Ambrose Plamondon Elementary School,170,2012
Austin-North Lawndale Elementary Network,610005,,Charles Evans Hughes Elementary School,317,2012
Austin-North Lawndale Elementary Network,609873,,Crown Community Academy of Fine Arts Center ES,297,2012
Austin-North Lawndale Elementary Network,610254,,Dvorak Technology Academy,552,2012
Austin-North Lawndale Elementary Network,609904,,Edward K Ellington Elementary School,375,2012
Austin-North Lawndale Elementary Network,610235,,Ella Flagg Young Elementary School,"1,105",2012
Austin-North Lawndale Elementary Network,610020,,Francis Scott Key Elementary School,297,2012
Austin-North Lawndale Elementary Network,610503,,Frazier Prospective IB Magnet ES,220,2012
Austin-North Lawndale Elementary Network,610305,,George Leland Elementary School,180,2012
Austin-North Lawndale Elementary Network,609795,,George Rogers Clark Elementary School,295,2012
Austin-North Lawndale Elementary Network,610158,,Harriet E Sayre Elementary Language Academy,605,2012
Austin-North Lawndale Elementary Network,610092,,Henry H Nash Elementary School,392,2012
Austin-North Lawndale Elementary Network,610058,,Horatio May Elementary Community Academy,456,2012
Austin-North Lawndale Elementary Network,610274,,James Weldon Johnson Elementary School,362,2012
Austin-North Lawndale Elementary Network,609975,,John Hay Elementary Community Academy,552,2012
Austin-North Lawndale Elementary Network,610043,,Joseph Lovett Elementary School,487,2012
Austin-North Lawndale Elementary Network,610253,,Julia C Lathrop Elementary School,83,2012
Austin-North Lawndale Elementary Network,610000,,Julia Ward Howe Elementary School of Excellence,574,2012
Austin-North Lawndale Elementary Network,610034,,Lawndale Elementary Community Academy,507,2012
Austin-North Lawndale Elementary Network,610036,,Leslie Lewis Elementary School,560,2012
Austin-North Lawndale Elementary Network,610156,,Louis Armstrong Math & Science Elementary School,95,2012
Austin-North Lawndale Elementary Network,610240,,Matthew A Henson Elementary School,271,2012
Austin-North Lawndale Elementary Network,609830,,Milton Brunson Math & Science Specialty ES,650,2012
Austin-North Lawndale Elementary Network,610134,,Nathaniel Pope Elementary School,199,2012
Austin-North Lawndale Elementary Network,610367,,Oscar DePriest Elementary School,522,2012
Austin-North Lawndale Elementary Network,609906,,Robert Emmet Elementary School,459,2012
Austin-North Lawndale Elementary Network,610282,,Ronald E McNair Elementary School,423,2012
Austin-North Lawndale Elementary Network,610056,,Roswell B Mason Elementary School,475,2012
Austin-North Lawndale Elementary Network,610183,,Spencer Technology Academy,809,2012
Austin-North Lawndale Elementary Network,609991,,Theodore Herzl Elementary School,512,2012
Austin-North Lawndale Elementary Network,609851,,Thomas Chalmers Specialty Elementary School,287,2012
Austin-North Lawndale Elementary Network,610123,,William Penn Elementary School,423,2012
Burnham Park Elementary Network,609837,,Andrew Carnegie Elementary School,725,2012
Burnham Park Elementary Network,610277,,Anthony Overton Elementary School,433,2012
Burnham Park Elementary Network,609951,,Ariel Elementary Community Academy,550,2012
Burnham Park Elementary Network,610169,,Austin O Sexton Elementary School,334,2012
Burnham Park Elementary Network,610150,,Betsy Ross Elementary School,350,2012
Burnham Park Elementary Network,610175,,Beulah Shoesmith Elementary School,328,2012
Burnham Park Elementary Network,609969,,Bret Harte Elementary School,334,2012
Burnham Park Elementary Network,610345,,Carter G Woodson South Elementary School,329,2012
Burnham Park Elementary Network,610030,,Charles Kozminski Elementary Community Academy,403,2012
Burnham Park Elementary Network,609781,,Crispus Attucks Elementary School,276,2012
Burnham Park Elementary Network,610266,,Dumas Technology Academy,381,2012
Burnham Park Elementary Network,609819,,Edmond Burke Elementary School,241,2012
Burnham Park Elementary Network,610246,,Edward Beasley Elementary Magnet Academic Center,"1,363",2012
Burnham Park Elementary Network,610065,,Emmett Louis Till Math and Science Academy,471,2012
Burnham Park Elementary Network,610258,,Florence B Price Elementary School,111,2012
Burnham Park Elementary Network,610110,,Ida B Wells Preparatory Elementary Academy,215,2012
Burnham Park Elementary Network,610276,,Irvin C Mollison Elementary School,243,2012
Burnham Park Elementary Network,610256,,Jackie Robinson Elementary School,140,2012
Burnham Park Elementary Network,609891,,James R Doolittle Jr Elementary School,304,2012
Burnham Park Elementary Network,610213,,James Wadsworth Elementary School,277,2012
Burnham Park Elementary Network,609894,,John B Drake Elementary School,250,2012
Burnham Park Elementary Network,609919,,John Fiske Elementary School,254,2012
Burnham Park Elementary Network,610126,,John J Pershing Elementary Humanities Magnet,257,2012
Burnham Park Elementary Network,610237,,Ludwig Van Beethoven Elementary School,409,2012
Burnham Park Elementary Network,609928,,Melville W Fuller Elementary School,239,2012
Burnham Park Elementary Network,610551,,Milburn Alternative Elementary School,5,2012
Burnham Park Elementary Network,610018,,Miriam G Canter Middle School,221,2012
Burnham Park Elementary Network,610231,,National Teachers Elementary Academy,443,2012
Burnham Park Elementary Network,610395,,Pershing West Middle School,269,2012
Burnham Park Elementary Network,610090,,Phillip Murray Elementary Language Academy,533,2012
Burnham Park Elementary Network,609990,,South Loop Elementary School,787,2012
Burnham Park Elementary Network,610143,,William C Reavis Math & Science Specialty ES,310,2012
Burnham Park Elementary Network,610142,,William H Ray Elementary School,653,2012
Burnham Park Elementary Network,610061,,William J & Charles H Mayo Elementary School,456,2012
Burnham Park Elementary Network,609844,,William W Carter Elementary School,370,2012
Burnham Park Elementary Network,610232,,Williams Multiplex Elementary School,266,2012
Burnham Park Elementary Network,610336,,Williams Preparatory Academy Middle School,125,2012
Burnham Park Elementary Network,609977,,Woodlawn Community Elementary School,236,2012
Englewood-Gresham Elementary Network,610339,,Amos Alonzo Stagg Elementary School,538,2012
Englewood-Gresham Elementary Network,609869,,Anna R. Langford Academy,339,2012
Englewood-Gresham Elementary Network,610161,,Arna Wendell Bontemps Elementary School,345,2012
Englewood-Gresham Elementary Network,609941,,Asa Philip Randolph Elementary School,567,2012
Englewood-Gresham Elementary Network,610265,,Benjamin Banneker Elementary School,302,2012
Englewood-Gresham Elementary Network,610290,,Benjamin E Mays Elementary Academy,301,2012
Englewood-Gresham Elementary Network,610238,,Carrie Jacobs Bond Elementary School,343,2012
Englewood-Gresham Elementary Network,609986,,Charles R Henderson Elementary School,406,2012
Englewood-Gresham Elementary Network,609897,,Charles W Earle Elementary School,330,2012
Englewood-Gresham Elementary Network,609790,,Clara Barton Elementary School,596,2012
Englewood-Gresham Elementary Network,610223,,Daniel S Wentworth Elementary School,363,2012
Englewood-Gresham Elementary Network,609913,,Elaine O Goodlow Elementary Magnet School,416,2012
Englewood-Gresham Elementary Network,609927,,Foster Park Elementary School,421,2012
Englewood-Gresham Elementary Network,610112,,Francis W Parker Elementary Community Academy,807,2012
Englewood-Gresham Elementary Network,610072,,Garrett A Morgan Elementary School,237,2012
Englewood-Gresham Elementary Network,610285,,Granville T Woods Math & Science Academy ES,401,2012
Englewood-Gresham Elementary Network,610173,,Jesse Sherwood Elementary School,355,2012
Englewood-Gresham Elementary Network,609775,,John P Altgeld Elementary School,527,2012
Englewood-Gresham Elementary Network,609864,,John W Cook Elementary School,479,2012
Englewood-Gresham Elementary Network,610019,,Joshua D Kershaw Elementary School,263,2012
Englewood-Gresham Elementary Network,610108,,Luke O'Toole Elementary School,510,2012
Englewood-Gresham Elementary Network,610369,,Mahalia Jackson Elementary School,322,2012
Englewood-Gresham Elementary Network,609793,,Nicholson Technology Academy,464,2012
Englewood-Gresham Elementary Network,609997,,Oliver Wendell Holmes Elementary School,333,2012
Englewood-Gresham Elementary Network,610003,,Paul Cuffe Math-Science Technology Academy ES,512,2012
Englewood-Gresham Elementary Network,609791,,Perkins Bass Elementary School,367,2012
Englewood-Gresham Elementary Network,610102,,Richard J Oglesby Elementary School,400,2012
Englewood-Gresham Elementary Network,609805,,Scott Joplin Elementary School,536,2012
Englewood-Gresham Elementary Network,610283,,Simon Guggenheim Elementary School,291,2012
Englewood-Gresham Elementary Network,610521,,Sir Miles Davis Magnet Elementary Academy,354,2012
Englewood-Gresham Elementary Network,609955,,Walter Q Gresham Elementary School,358,2012
Englewood-Gresham Elementary Network,610264,,Walter Reed Elementary School,44,2012
Englewood-Gresham Elementary Network,610299,,William A Hinton Elementary School,320,2012
Englewood-Gresham Elementary Network,610153,,William H Ryder Math & Science Specialty ES,302,2012
Far South Side High School Network,610556,,Banner Academy South,284,2012
Far South Side High School Network,609753,,Chicago High School for Agricultural Sciences,578,2012
Far South Side High School Network,609705,,Christian Fenger Academy High School,688,2012
Far South Side High School Network,609706,,Fenger Achievement Academy High School,85,2012
Far South Side High School Network,609761,,George H Corliss High School,622,2012
Far South Side High School Network,609760,,George Washington Carver Military Academy HS,532,2012
Far South Side High School Network,609739,,George Washington High School,"1,525",2012
Far South Side High School Network,609726,,Gwendolyn Brooks College Preparatory Academy HS,781,2012
Far South Side High School Network,609710,,John M Harlan Community Academy High School,"1,243",2012
Far South Side High School Network,609725,,Morgan Park High School,"1,571",2012
Far South Side High School Network,609762,,Percy L Julian High School,"1,224",2012
Far South Side High School Network,610554,,Vivian E. Summers Alternative High School,65,2012
Fullerton Elementary Network,610038,,Abraham Lincoln Elementary School,809,2012
Fullerton Elementary Network,609780,,Ames Middle School,583,2012
Fullerton Elementary Network,610549,,Banner North Elementary School,5,2012
Fullerton Elementary Network,609922,,Belmont-Cragin Elementary School,634,2012
Fullerton Elementary Network,610039,,Carl von Linne Elementary School,639,2012
Fullerton Elementary Network,609875,,Charles R Darwin Elementary School,620,2012
Fullerton Elementary Network,610533,,Dr Jorge Prieto Math and Science,993,2012
Fullerton Elementary Network,610012,,Edward Jenner Elementary Academy of the Arts,313,2012
Fullerton Elementary Network,610541,,Federico Garcia Lorca Elementary School,858,2012
Fullerton Elementary Network,610144,,Frank W Reilly Elementary School,"1,179",2012
Fullerton Elementary Network,609926,,Franklin Elementary Fine Arts Center,363,2012
Fullerton Elementary Network,610165,,Franz Peter Schubert Elementary School,936,2012
Fullerton Elementary Network,609930,,Frederick Funston Elementary School,619,2012
Fullerton Elementary Network,610048,,George Manierre Elementary School,393,2012
Fullerton Elementary Network,610068,,Hanson Park Elementary School,"1,489",2012
Fullerton Elementary Network,610040,,Henry D Lloyd Elementary School,"1,323",2012
Fullerton Elementary Network,610074,,James Monroe Elementary School,"1,113",2012
Fullerton Elementary Network,609942,,Johann W von Goethe Elementary School,785,2012
Fullerton Elementary Network,609789,,John Barry Elementary School,796,2012
Fullerton Elementary Network,610041,,Josephine C Locke Elementary School,"1,303",2012
Fullerton Elementary Network,610033,,LaSalle Elementary Language Academy,576,2012
Fullerton Elementary Network,609910,,Laughlin Falconer Elementary School,"1,508",2012
Fullerton Elementary Network,610325,,Logandale Middle School,942,2012
Fullerton Elementary Network,609809,,Lorenz Brentano Math & Science Academy ES,453,2012
Fullerton Elementary Network,609774,,Louisa May Alcott Elementary School,474,2012
Fullerton Elementary Network,609818,,Luther Burbank Elementary School,"1,132",2012
Fullerton Elementary Network,610539,,Marvin Camras Elementary School,823,2012
Fullerton Elementary Network,610046,,Mary Lyon Elementary School,"1,409",2012
Fullerton Elementary Network,610051,,Northwest Middle School,758,2012
Fullerton Elementary Network,610059,,Oscar F Mayer Elementary School,595,2012
Fullerton Elementary Network,610138,,Pulaski International Academy Elmentary School,860,2012
Fullerton Elementary Network,610234,,Richard Yates Elementary School,684,2012
Fullerton Elementary Network,610250,,Rueben Salazar Elementary Bilingual Center,444,2012
Fullerton Elementary Network,609853,,Salmon P Chase Elementary School,503,2012
Fullerton Elementary Network,609968,,Sharon Christa McAuliffe Elementary School,856,2012
Fullerton Elementary Network,610534,,Skinner North,242,2012
Fullerton Elementary Network,609896,,Thomas Drummond Elementary School,352,2012
Fullerton Elementary Network,610095,,Walter L Newberry Math & Science Academy ES,559,2012
Fullerton Elementary Network,610101,,William B Ogden Elementary School,713,2012
Fullerton Elementary Network,610136,,William H Prescott Elementary School,239,2012
Fullerton Elementary Network,610097,,William P Nixon Elementary School,"1,051",2012
Fullerton Elementary Network,610088,,Wolfgang A Mozart Elementary School,747,2012
Fulton Elementary Network,610229,,A.N. Pritzker School,668,2012
Fulton Elementary Network,610342,,Albert R Sabin Elementary Magnet School,622,2012
Fulton Elementary Network,610210,,Alexander von Humboldt Elementary School,392,2012
Fulton Elementary Network,610320,,Ana Roque de Duprey Elementary School,114,2012
Fulton Elementary Network,610060,,Andrew Jackson Elementary Language Academy,555,2012
Fulton Elementary Network,610076,,Bernhard Moos Elementary School,425,2012
Fulton Elementary Network,609863,,Christopher Columbus Elementary School,309,2012
Fulton Elementary Network,610119,,Elizabeth Peabody Elementary School,288,2012
Fulton Elementary Network,610073,,Ellen Mitchell Elementary School,343,2012
Fulton Elementary Network,609854,,Frederic Chopin Elementary School,267,2012
Fulton Elementary Network,610009,,Galileo Math & Science Scholastic Academy ES,608,2012
Fulton Elementary Network,610107,,James Otis Elementary School,489,2012
Fulton Elementary Network,610031,,Jean D Lafayette Elementary School,471,2012
Fulton Elementary Network,610180,,John M Smyth Elementary School,472,2012
Fulton Elementary Network,609828,,Jonathan Burr Elementary School,347,2012
Fulton Elementary Network,610313,,Jose De Diego Elementary Community Academy,867,2012
Fulton Elementary Network,610520,,LaSalle II Magnet Elementary School,609,2012
Fulton Elementary Network,610197,,Mancel Talcott Elementary School,579,2012
Fulton Elementary Network,610177,,Mark Skinner Elementary School,783,2012
Fulton Elementary Network,610075,,Moses Montefiore Special Elementary School,21,2012
Fulton Elementary Network,610085,,Near North Elementary School,91,2012
Fulton Elementary Network,610252,,Robert Nathaniel Dett Elementary School,249,2012
Fulton Elementary Network,610029,,Rodolfo Lozano Bilingual & International Ctr ES,316,2012
Fulton Elementary Network,610548,,STEM Magnet Academy,227,2012
Fulton Elementary Network,610405,,Suder Montessori Magnet ES,350,2012
Fulton Elementary Network,609989,,Victor Herbert Elementary School,397,2012
Fulton Elementary Network,610121,,Washington Irving Elementary School,481,2012
Fulton Elementary Network,609812,,William H Brown Elementary School,214,2012
Fulton Elementary Network,610023,,William H King Elementary School,263,2012
Fulton Elementary Network,610308,,Wilma Rudolph Elementary Learning Center,100,2012
Garfield-Humboldt Elementary Network,610098,,Alfred Nobel Elementary School,796,2012
Garfield-Humboldt Elementary Network,610106,,Brian Piccolo Elementary Specialty School,541,2012
Garfield-Humboldt Elementary Network,610194,,Charles Sumner  Math & Science Community Acad ES,426,2012
Garfield-Humboldt Elementary Network,609835,,Daniel R Cameron Elementary School,822,2012
Garfield-Humboldt Elementary Network,610221,,Daniel Webster Elementary School,369,2012
Garfield-Humboldt Elementary Network,609881,,Edward C Delano Elementary School,414,2012
Garfield-Humboldt Elementary Network,610293,,Genevieve Melody Elementary School,315,2012
Garfield-Humboldt Elementary Network,610202,,George W Tilton Elementary School,319,2012
Garfield-Humboldt Elementary Network,610241,,Guglielmo Marconi Elementary Community Academy,245,2012
Garfield-Humboldt Elementary Network,610192,,Harriet Beecher Stowe Elementary School,886,2012
Garfield-Humboldt Elementary Network,609985,,Helen M Hefferan Elementary School,259,2012
Garfield-Humboldt Elementary Network,609797,,Jacob Beidler Elementary School,406,2012
Garfield-Humboldt Elementary Network,610044,,James Russell Lowell Elementary School,587,2012
Garfield-Humboldt Elementary Network,610271,,Jensen Elementary Scholastic Academy,364,2012
Garfield-Humboldt Elementary Network,610243,,John Calhoun North Elementary School,328,2012
Garfield-Humboldt Elementary Network,609954,,John Milton Gregory Elementary School,321,2012
Garfield-Humboldt Elementary Network,609925,,Joseph Kellman Corporate Community ES,293,2012
Garfield-Humboldt Elementary Network,610133,,Laura S Ward Elementary School,428,2012
Garfield-Humboldt Elementary Network,609907,,Leif Ericson Elementary Scholastic Academy,516,2012
Garfield-Humboldt Elementary Network,610154,,Martin A Ryerson Elementary School,443,2012
Garfield-Humboldt Elementary Network,609888,,Mary Mapes Dodge Elementary Renaissance Academy,434,2012
Garfield-Humboldt Elementary Network,610365,,Mary McLeod Bethune Elementary School,363,2012
Garfield-Humboldt Elementary Network,610055,,Michael Faraday Elementary School,191,2012
Garfield-Humboldt Elementary Network,610257,,Morton School of Excellence,344,2012
Garfield-Humboldt Elementary Network,610348,,Nathan R Goldblatt Elementary School,268,2012
Garfield-Humboldt Elementary Network,610021,,Pablo Casals Elementary School,504,2012
Garfield-Humboldt Elementary Network,610100,,West Park Elementary Academy,684,2012
Garfield-Humboldt Elementary Network,610251,,Willa Cather Elementary School,234,2012
Lake Calumet Elementary Network,609821,,Burnham Elementary Inclusive Academy,283,2012
Lake Calumet Elementary Network,610198,,Douglas Taylor Elementary School,633,2012
Lake Calumet Elementary Network,610132,,Edgar Allan Poe Elementary Classical School,192,2012
Lake Calumet Elementary Network,610315,,Edward White Elementary Career Academy,138,2012
Lake Calumet Elementary Network,610139,,George M Pullman Elementary School,256,2012
Lake Calumet Elementary Network,609845,,George Washington Carver Primary School,542,2012
Lake Calumet Elementary Network,610219,,George Washington Elementary School,812,2012
Lake Calumet Elementary Network,609856,,Henry Clay Elementary School,630,2012
Lake Calumet Elementary Network,609848,,Ira F Aldridge Elementary School,283,2012
Lake Calumet Elementary Network,609772,,Jane Addams Elementary School,926,2012
Lake Calumet Elementary Network,609932,,Jesse Owens Elementary Community Academy,342,2012
Lake Calumet Elementary Network,610054,,John L Marsh Elementary School,834,2012
Lake Calumet Elementary Network,610225,,John Whistler Elementary School,376,2012
Lake Calumet Elementary Network,610199,,Johnnie Colemon Elementary Academy,266,2012
Lake Calumet Elementary Network,609935,,Matthew Gallistel Elementary Language Academy,"1,413",2012
Lake Calumet Elementary Network,609811,,Orville T Bright Elementary School,359,2012
Lake Calumet Elementary Network,609902,,Ralph H Metcalfe Elementary Community Academy,485,2012
Lake Calumet Elementary Network,610045,,Robert H Lawrence Elementary School,376,2012
Lake Calumet Elementary Network,610091,,Ronald Brown Elementary Community Academy,283,2012
Lake Calumet Elementary Network,609943,,Samuel Gompers Fine Arts Options ES,286,2012
Lake Calumet Elementary Network,610160,,Songhai Elementary Learning Institute,352,2012
Lake Calumet Elementary Network,610178,,Theophilus Schmid Elementary School,185,2012
Lake Calumet Elementary Network,610295,,Thomas J Higgins Elementary Community Academy,368,2012
Lake Calumet Elementary Network,609944,,Virgil Grissom Elementary School,328,2012
Lake Calumet Elementary Network,609978,,Wendell Smith Elementary School,364,2012
Lake Calumet Elementary Network,610224,,West Pullman Elementary School,340,2012
Lake Calumet Elementary Network,610364,,William E B Dubois Elementary School,184,2012
Midway Elementary Network,610185,,Adlai E Stevenson Elementary School,"1,306",2012
Midway Elementary Network,610287,,Ashburn Community Elementary School,490,2012
Midway Elementary Network,610087,,Blair Early Childhood Center,137,2012
Midway Elementary Network,609839,,Carroll-Rosenwald Specialty Elementary School,536,2012
Midway Elementary Network,609879,,Charles Gates Dawes Elementary School,"1,025",2012
Midway Elementary Network,610347,,Claremont Academy Elementary School,530,2012
Midway Elementary Network,610077,,Donald Morrill Math & Science Elementary School,822,2012
Midway Elementary Network,610352,,Durkin Park Elementary School,542,2012
Midway Elementary Network,610006,,Edward N Hurley Elementary School,825,2012
Midway Elementary Network,610203,,Enrico Tonti Elementary School,"1,004",2012
Midway Elementary Network,610057,,Fairfield Elementary Academy,598,2012
Midway Elementary Network,610120,,Ferdinand Peck Elementary School,"1,553",2012
Midway Elementary Network,610096,,Florence Nightingale Elementary School,"1,376",2012
Midway Elementary Network,610067,,Francis M McKay Elementary School,885,2012
Midway Elementary Network,610532,,Irene C. Hernandez Middle School for the Advancement of Scie,970,2012
Midway Elementary Network,609893,,John C Dore Elementary School,586,2012
Midway Elementary Network,609898,,John F Eberhart Elementary School,"1,762",2012
Midway Elementary Network,610026,,John H Kinzie Elementary School,726,2012
Midway Elementary Network,609807,,Lionel Hampton Fine & Performing Arts ES,657,2012
Midway Elementary Network,610117,,Louis Pasteur Elementary School,"1,166",2012
Midway Elementary Network,610544,,Mariano Azuela Elementary School,870,2012
Midway Elementary Network,610206,,Mark Twain Elementary School,"1,154",2012
Midway Elementary Network,610053,,Marquette Elementary School,"1,385",2012
Midway Elementary Network,609832,,Michael M Byrne Elementary School,684,2012
Midway Elementary Network,609960,,Nathan Hale Elementary School,864,2012
Midway Elementary Network,609981,,Phobe Apperson Hearst Elementary School,362,2012
Midway Elementary Network,609842,,Rachel Carson Elementary School,"1,218",2012
Midway Elementary Network,609903,,Richard Edwards Elementary School,"1,486",2012
Midway Elementary Network,610291,,Richard Henry Lee Elementary School,829,2012
Midway Elementary Network,609956,,Robert L Grimes Elementary School,486,2012
Midway Elementary Network,610157,,Sidney Sawyer Elementary School,"1,828",2012
Midway Elementary Network,610226,,Socorro Sandoval Elementary School,"1,178",2012
Midway Elementary Network,610249,,Talman Elementary School,370,2012
Midway Elementary Network,610396,,Tarkington School of Excellence ES,"1,065",2012
Midway Elementary Network,609855,,Walter S Christopher Elementary School,278,2012
Midway Elementary Network,610109,,William Bishop Owen Scholastic Academy ES,243,2012
North-Northwest Side High School Network,609720,,Albert G Lane Technical High School,"4,366",2012
North-Northwest Side High School Network,610524,,Alcott High School for the Humanities,232,2012
North-Northwest Side High School Network,610550,,Banner North High School,28,2012
North-Northwest Side High School Network,609729,,Carl Schurz High School,"2,364",2012
North-Northwest Side High School Network,609679,,Charles Allen Prosser Career Academy High School,"1,416",2012
North-Northwest Side High School Network,609732,,Charles P Steinmetz Academic Centre High School,"1,890",2012
North-Northwest Side High School Network,610340,,Chicago Academy High School,503,2012
North-Northwest Side High School Network,610402,,DeVry University Advantage Academy HS,200,2012
North-Northwest Side High School Network,609708,,Edwin G Foreman High School,"1,715",2012
North-Northwest Side High School Network,609737,,Friedrich W von Steuben Metropolitan Science HS,"1,635",2012
North-Northwest Side High School Network,610390,,Hyman G Rickover Naval Academy High School,424,2012
North-Northwest Side High School Network,609766,,Jacqueline B Vaughn Occupational High School,202,2012
North-Northwest Side High School Network,609716,,Kelvyn Park High School,"1,250",2012
North-Northwest Side High School Network,609719,,Lake View High School,"1,502",2012
North-Northwest Side High School Network,609738,,Lincoln Park High School,"2,342",2012
North-Northwest Side High School Network,609730,,Nicholas Senn High School,"1,051",2012
North-Northwest Side High School Network,609749,,Northside College Preparatory High School,"1,053",2012
North-Northwest Side High School Network,609744,,Northside Learning Center High School,299,2012
North-Northwest Side High School Network,609695,,Roald Amundsen High School,"1,535",2012
North-Northwest Side High School Network,609733,,Roger C Sullivan High School,827,2012
North-Northwest Side High School Network,609724,,Stephen T Mather High School,"1,656",2012
North-Northwest Side High School Network,609728,,Theodore Roosevelt High School,"1,497",2012
North-Northwest Side High School Network,610394,,Uplift Community High School,471,2012
North-Northwest Side High School Network,609680,,Walter Payton College Preparatory High School,885,2012
North-Northwest Side High School Network,609734,,William Howard Taft High School,"2,921",2012
O'Hare Elementary Network,610212,,Albany Park Multicultural Academy,266,2012
O'Hare Elementary Network,610209,,Alessandro Volta Elementary School,"1,016",2012
O'Hare Elementary Network,609836,,Arthur E Canty Elementary School,780,2012
O'Hare Elementary Network,610248,,Chicago Academy Elementary School,600,2012
O'Hare Elementary Network,609899,,Christian Ebinger Elementary School,644,2012
O'Hare Elementary Network,610083,,Daniel C Beard Elementary School,160,2012
O'Hare Elementary Network,610515,,Disney II Magnet School,363,2012
O'Hare Elementary Network,609901,,Edgebrook Elementary School,463,2012
O'Hare Elementary Network,610523,,Edison Park Elementary School,428,2012
O'Hare Elementary Network,610137,,Ernst Prussing Elementary School,671,2012
O'Hare Elementary Network,609874,,Everett McKinley Dirksen Elementary School,777,2012
O'Hare Elementary Network,610163,,Frederick Stock Elementary School,259,2012
O'Hare Elementary Network,609857,,Grover Cleveland Elementary School,685,2012
O'Hare Elementary Network,610182,,Hannah G Solomon Elementary School,362,2012
O'Hare Elementary Network,609972,,Helge A Haugan Elementary School,"1,284",2012
O'Hare Elementary Network,609798,,Hiram H Belding Elementary School,657,2012
O'Hare Elementary Network,609912,,James B Farnsworth Elementary School,574,2012
O'Hare Elementary Network,609796,,Jean Baptiste Beaubien Elementary School,"1,172",2012
O'Hare Elementary Network,610089,,John B Murphy Elementary School,637,2012
O'Hare Elementary Network,610111,,John Palmer Elementary School,912,2012
O'Hare Elementary Network,609937,,John W Garvy Elementary School,715,2012
O'Hare Elementary Network,610159,,Jonathan Y Scammon Elementary School,924,2012
O'Hare Elementary Network,610127,,Mary Gage Peterson Elementary School,856,2012
O'Hare Elementary Network,609792,,Newton Bateman Elementary School,"1,014",2012
O'Hare Elementary Network,609810,,Norman A Bridge Elementary School,994,2012
O'Hare Elementary Network,610354,,North River Elementary School,360,2012
O'Hare Elementary Network,610099,,Norwood Park Elementary School,358,2012
O'Hare Elementary Network,610201,,Ole A Thorp Elementary Scholastic Academy,834,2012
O'Hare Elementary Network,610105,,Oriole Park Elementary School,644,2012
O'Hare Elementary Network,609988,,Patrick Henry Elementary School,648,2012
O'Hare Elementary Network,610145,,Peter A Reinberg Elementary School,827,2012
O'Hare Elementary Network,610135,,Portage Park Elementary School,"1,123",2012
O'Hare Elementary Network,609995,,Rufus M Hitch Elementary School,534,2012
O'Hare Elementary Network,610155,,Sauganash Elementary School,545,2012
O'Hare Elementary Network,609794,,Thomas A Edison Regional Gifted Center ES,269,2012
O'Hare Elementary Network,610321,,Thurgood Marshall Middle School,434,2012
O'Hare Elementary Network,610179,,Washington D Smyser Elementary School,"1,038",2012
O'Hare Elementary Network,610230,,Wildwood Elementary School,412,2012
O'Hare Elementary Network,609884,,William E Dever Elementary School,838,2012
O'Hare Elementary Network,609994,,William G Hibbard Elementary School,"1,235",2012
